hhid,hhgroup,sample_segment,sample_county,final_cnty,cityofredmond,cityofseattle,psrc,final_home_tract,final_home_bg,final_home_puma10,final_home_rgcnum,final_home_uvnum,final_home_taz2010,travelweek,traveldate,dayofweek,hhsize,vehicle_count,numadults,numchildren,numworkers,lifecycle,hhincome_detailed,hhincome_followup,hhincome_broad,car_share,rent_own,res_dur,res_type,res_months,offpark,offpark_cost,streetpark,prev_home_wa,prev_home_tract,prev_home_bg,prev_home_puma10,prev_home_rgcname,prev_home_taz2010,prev_home_notwa_notus,prev_home_notwa_city,prev_home_notwa_zip,prev_home_notwa_state,prev_rent_own,prev_res_type,res_factors_30min,res_factors_afford,res_factors_closefam,res_factors_hhchange,res_factors_hwy,res_factors_school,res_factors_space,res_factors_transit,res_factors_walk,rmove_optin,diary_incentive_type,extra_incentive,call_center,mobile_device,contact_email,contact_phone,foreign_language,google_translate,recruit_start_pt,recruit_end_pt,recruit_duration_min,numdayscomplete,day1complete,day2complete,day3complete,day4complete,day5complete,day6complete,day7complete,num_trips,nwkdays,hh_wt_revised,hh_day_wt_revised
17100005,2,23,King,1,1,0,0,53033032323,530330323234,11607,1,0,1709,8,5/24/17,4,2,2,2,0,1,7,6,,4,2,1,7,1,1,2,0,1,,,,,,,,,,,,,4,5,4,4,3,5,5,3,4,,2,0,0,0,1,0,0,0,17:58.8,31:22.9,14,1,1,,,,,,,8,1,24.44170886,24.44170886
17100024,2,51,King,1,0,1,0,53033007600,530330076002,11604,1,22,557,2,4/12/17,4,3,1,2,1,2,1,6,,4,1,1,2,2,1,1,0,3,2,,,,,,0,Tucson,,3,2,1,5,4,4,4,2,4,2,5,5,,1,0,0,0,1,0,0,0,59:44.7,12:40.8,13,1,1,,,,,,,14,1,26.2249809,26.2249809
17100052,2,51,King,1,0,1,0,53033007500,530330075005,11604,21,28,426,9,5/31/17,4,1,0,1,0,1,5,2,,1,2,2,6,1,1,1,0,2,,,,,,,,,,,,,1,5,1,1,1,1,3,5,5,,2,1,0,0,0,1,0,0,26:01.5,32:40.2,6,1,1,,,,,,,5,1,25.69282552,25.69282552
17100059,1,50,King,1,0,1,0,53033008400,530330084001,11603,21,16,568,3,4/18/17,3,1,0,1,0,1,3,7,,5,2,2,1,4,1,0,,3,2,,,,,,0,,48104,,2,6,2,2,2,3,2,1,2,5,5,1,,0,0,0,1,0,0,0,26:57.7,32:38.1,6,6,1,1,1,1,1,1,0,38,3,47.76872831,15.92290944
17100060,2,11,Pierce,3,0,0,1,53053072000,530530720002,11503,1,0,3347,8,5/24/17,4,1,1,1,0,0,5,2,,1,2,2,5,3,1,2,0,3,,,,,,,,,,,,,3,5,4,3,4,1,4,4,4,2,1,1,0,0,1,0,0,0,14:40.4,29:24.0,15,1,1,,,,,,,5,1,278.1472245,278.1472245
17100102,2,50,King,1,0,1,0,53033007500,530330075004,11604,21,16,553,1,4/5/17,4,1,1,1,0,1,4,6,,4,2,2,4,4,1,1,0,3,1,53033008100,530330081001,11603,Seattle Downtown,519,,,,,2,4,4,4,4,4,3,2,3,5,4,,1,0,0,0,1,0,0,0,10:54.9,16:14.7,6,1,1,,,,,,,5,1,318.8613443,318.8613443
17100108,2,51,King,1,0,1,0,53033008002,530330080022,11603,20,7,458,4,4/25/17,3,2,1,2,0,2,6,9,,5,1,2,2,4,1,10,190,4,2,,,,,,0,,94086,,2,4,4,3,3,4,4,1,3,4,5,2,1,0,0,0,1,0,0,0,13:37.5,24:16.5,11,1,1,,,,,,,4,1,24.89946169,24.89946169
17100111,2,57,King,1,0,1,0,53033002600,530330026003,11602,1,32,184,5,5/3/17,4,4,3,2,2,2,2,9,,5,2,1,7,1,1,1,0,1,,,,,,,,,,,,,4,4,2,3,3,2,4,3,5,,3,0,0,0,,,0,0,46:07.9,05:33.3,19,1,1,,,,,,,18,1,167.4,167.4
17100137,2,50,King,1,0,1,0,53033008400,530330084002,11603,21,16,574,8,5/25/17,5,1,1,1,0,1,4,2,,1,2,1,4,4,1,1,0,3,1,53033007500,530330075005,11604,Seattle First Hill/Capitol Hill,425,,,,,2,4,5,5,1,1,1,1,3,1,5,,1,0,0,0,1,0,0,0,18:20.2,27:03.4,9,1,1,,,,,,,4,1,142.0365521,142.0365521
17100149,2,2,King,1,0,0,1,53033024800,530330248003,11608,1,0,1465,4,4/27/17,5,4,2,2,2,2,2,7,,5,1,1,3,4,1,2,0,1,1,53033025200,530330252003,11610,,1403,,,,,1,1,2,2,2,2,2,2,3,2,2,,1,0,0,0,1,0,0,1,11:29.9,47:36.9,36,1,1,,,,,,,8,1,561.492027,561.492027
