BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330001001,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330001002,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330001003,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330001004,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330001005,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330002001,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330002002,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330002003,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330002004,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330002005,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330002006,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330003001,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330003002,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330004011,Bitter Lake Village,Hub Urban Village,"Broadview, Bitter Lake",9,Northwest
530330004012,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330004013,Bitter Lake Village,Hub Urban Village,"Broadview, Bitter Lake",9,Northwest
530330004021,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330004022,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330004023,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330004024,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330005001,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330005002,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330005003,Outside Villages,Outside Villages,"Broadview, Bitter Lake",9,Northwest
530330006001,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330006002,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330006003,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330006004,Northgate,Urban Center,"Haller Lake, Pinehurst",9,Northwest
530330006005,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330006006,Outside Villages,Outside Villages,"Haller Lake, Pinehurst",9,Northwest
530330007001,Lake City,Hub Urban Village,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330007002,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330007003,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330007004,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330008001,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330008002,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330009001,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330009002,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330010001,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330010002,Outside Villages,Outside Villages,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330011001,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330011002,Outside Villages,Outside Villages,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330012001,Outside Villages,Outside Villages,"Maple Leaf, Northgate, Pinehurst",8,North
530330012002,Outside Villages,Outside Villages,"Maple Leaf, Northgate, Pinehurst",8,North
530330012003,Northgate,Urban Center,"Maple Leaf, Northgate, Pinehurst",8,North
530330012004,Northgate,Urban Center,"Maple Leaf, Northgate, Pinehurst",8,North
530330012005,Northgate,Urban Center,"Maple Leaf, Northgate, Pinehurst",8,North
530330013001,Outside Villages,Outside Villages,Licton Springs,9,Northwest
530330013002,Aurora-Licton Springs,Residential Urban Village,Licton Springs,9,Northwest
530330013003,Aurora-Licton Springs,Residential Urban Village,Licton Springs,9,Northwest
530330014001,Outside Villages,Outside Villages,"Crown Hill, North Beach, Blue Ridge",10,Ballard
530330014002,Outside Villages,Outside Villages,"Crown Hill, North Beach, Blue Ridge",10,Ballard
530330014003,Outside Villages,Outside Villages,"Crown Hill, North Beach, Blue Ridge",10,Ballard
