hhid,personid,pernum,sample_segment,hhgroup,traveldate,relationship,proxy_parent,proxy,age,gender,employment,jobs_count,worker,student,schooltype,education,license,vehicleused,smartphone_type,smartphone_age,smartphone_qualified,race_afam,race_aiak,race_asian,race_hapi,race_hisp,race_white,race_other,race_noanswer,workplace,hours_work,commute_freq,commute_mode,commute_dur,telecommute_freq,wpktyp,workpass,workpass_cost,workpass_cost_dk,work_county,work_tract,work_bg,work_puma10,work_rgcname,work_taz2010,prev_work_wa,prev_work_county,prev_work_notwa_city,prev_work_notwa_zip,prev_work_tract,prev_work_bg,prev_work_puma10,prev_work_rgcname,prev_work_taz2010,prev_work_notwa_state,prev_work_notwa_notus,school_freq,school_loc_county,school_tract,school_bg,school_puma10,school_rgcname,school_taz2010,completed_pref_survey,mode_freq_1,mode_freq_2,mode_freq_3,mode_freq_4,mode_freq_5,tran_pass_1,tran_pass_2,tran_pass_3,tran_pass_4,tran_pass_5,tran_pass_6,tran_pass_7,tran_pass_8,tran_pass_9,tran_pass_10,tran_pass_11,tran_pass_12,benefits_1,benefits_2,benefits_3,benefits_4,av_interest_1,av_interest_2,av_interest_3,av_interest_4,av_interest_5,av_interest_6,av_interest_7,av_concern_1,av_concern_2,av_concern_3,av_concern_4,av_concern_5,wbt_transitmore_1,wbt_transitmore_2,wbt_transitmore_3,wbt_bikemore_1,wbt_bikemore_2,wbt_bikemore_3,wbt_bikemore_4,wbt_bikemore_5,rmove_incentive,call_center,mobile_device,num_trips,nwkdays,hh_wt_final,hh_day_wt_final
17100005,1710000501,1,23,2,5/24/17,0,,1,9,2,3,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,5,4,,,5,5,3,2,3,2,1,2,4,4,4,5,5,5,5,5,,0,0,5,1,24.53387851,24.53387851
17100005,1710000502,2,23,2,5/24/17,1,,3,10,1,6,,0,1,,3,1,1,3,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,24.53387851,24.53387851
17100024,1710002401,1,51,2,4/12/17,0,,1,6,3,2,2,1,3,6,7,1,1,2,2,1,0,0,0,0,0,1,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,4,4,3,5,6,2,2,1,3,3,3,3,3,3,3,3,,3,3,1,1,5,5,,,5,5,4,1,1,1,1,1,4,3,2,2,2,2,4,4,,0,0,8,1,25.9307874,25.9307874
17100024,1710002402,2,51,2,4/12/17,1,,2,6,2,1,2,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,8,2,9,,,,,King County,53033008800,530330088003,11604,,597,1,King County,,,53033009500,530330095004,11604,,665,,,,,,,,,,1,3,7,3,5,5,2,2,1,3,3,2,2,3,3,3,3,,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,3,2,2,5,5,5,5,5,,0,0,4,1,25.9307874,25.9307874
17100024,1710002403,3,51,2,4/12/17,2,,3,1,4,,,0,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,25.9307874,25.9307874
17100052,1710005201,1,51,2,5/31/17,0,,1,10,2,3,1,1,1,,7,3,,1,2,1,0,0,0,0,0,1,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,7,7,2,3,2,3,1,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,1,5,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,5,1,25.58679644,25.58679644
17100059,1710005901,1,50,1,4/18/17,0,0,1,6,1,1,1,1,1,,6,2,,1,2,1,0,0,0,0,0,0,1,0,1,3,2,9,4,8,,,,,King County,53033022803,530330228033,11607,,1613,3,,,,,,,,,,,,,,,,,,1,1,7,1,7,5,2,2,1,3,3,3,3,3,3,1,2,,4,4,3,2,1,2,1,1,1,1,3,2,2,2,4,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,1,38,3,46.0126207,15.33754023
17100060,1710006001,1,11,2,5/24/17,0,,1,10,1,6,,0,1,,3,1,1,1,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,,,,,5,5,,,4,5,4,3,3,2,1,2,4,4,4,5,5,5,5,5,,0,0,5,1,287.2734915,287.2734915
17100102,1710010201,1,50,2,4/5/17,0,,1,7,1,1,1,1,1,,7,1,1,2,1,0,0,0,1,0,0,1,0,0,1,2,3,1,5,8,2,5,,,King County,53033009400,530330094002,11605,,637,,,,,,,,,,,,,,,,,,,1,3,7,3,7,5,2,3,1,3,3,3,3,3,3,3,3,,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,3,3,2,5,5,5,5,5,,0,0,5,1,48.79965922,48.79965922
17100108,1710010801,1,51,2,4/25/17,0,,1,6,2,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,0,0,1,1,2,2,5,1,8,,,,,King County,53033022802,530330228023,11607,,1629,2,,,94086,,,,,,,0,,,,,,,,1,6,7,4,7,5,,,,,,,,,,,,,4,1,3,3,4,3,4,5,3,4,3,2,3,3,2,2,3,2,3,6,6,6,6,6,,0,1,2,1,24.6313213,24.6313213
