uv_origin,google_duration,google_duration,google_duration,trip_path_distance,origin_lat,origin_lat,origin_lat,origin_lng
12th Avenue,16.68402778,15.49398518,3.433821818,4.193542254,47.60831512,0.002950593,-0.462030123,-122.3173448
23rd & Union-Jackson,15.56436931,14.65173232,3.482621136,3.263155986,47.60314511,0.005408812,1.48728009,-122.306682
Admiral,13.99065421,11.75817285,1.232974481,3.490138156,47.58234954,0.000785869,2.643821282,-122.3864201
Aurora-Licton Springs,16.34391534,13.91021713,2.610907728,4.47171468,47.69685401,0.005028843,0.480625368,-122.3459766
Ballard,14.52354049,14.35680083,4.427404891,3.43767399,47.67059299,0.003031826,0.103378584,-122.3826035
Ballard-Interbay-Northend,14.82156863,15.99108069,6.871855227,3.013369841,47.65972606,0.005011949,-0.237765145,-122.3720196
Belltown,16.50887574,16.65639447,2.122466713,4.334159208,47.61443468,0.002405082,-0.144529975,-122.3473412
Bitter Lake Village,17.2,16.46264514,4.355995349,5.480546174,47.72856031,0.003791116,-0.128577748,-122.3506528
Capitol Hill,15.61964736,24.57356876,12.62874738,3.361040792,47.62031626,0.00295558,-0.07593735,-122.3198659
Chinatown-International District,14.18554217,12.91244328,2.379723811,2.606549849,47.59797954,0.001074136,0.565468501,-122.3253079
Columbia City,15.98426966,16.24994039,2.503155871,4.902199999,47.55949393,0.003391334,0.613116399,-122.2885288
Commercial Core,17.67315914,21.99050449,9.312122057,4.821332977,47.60779193,0.003081098,0.003429503,-122.3357634
Crown Hill,12.50684932,12.12022907,2.880483977,3.555398181,47.69012456,0.00227116,0.468820053,-122.377021
Denny Triangle,15.10493827,15.98145521,3.551571735,3.433564116,47.61683573,0.001811616,-0.633471386,-122.3319319
Eastlake,17.23357664,18.54299539,7.033013579,4.539776869,47.64085403,0.003473377,0.939658046,-122.3256253
First Hill,15.29249012,12.37873548,2.048439083,3.912307595,47.60790794,0.002664107,-0.197733945,-122.3260425
Fremont,16.04334365,17.67083992,6.466763351,3.589636742,47.6518068,0.002326789,0.494017388,-122.3475812
Greater Duwamish,19.67311828,19.71291338,5.10169412,5.934554956,47.57516743,0.020057956,-0.781245437,-122.3335259
Green Lake,16.56145251,23.7931179,9.16585603,4.534403658,47.67949638,0.001717225,-0.235073812,-122.3250026
Greenwood-Phinney Ridge,14.33950617,12.11393304,1.535508477,3.705545227,47.69147943,0.000486951,-0.053899495,-122.3558872
Lake City,19.35465116,16.40226221,1.987878765,6.626723364,47.71746596,0.000977089,-0.172823927,-122.2949054
MLK at Holly St,21.26540284,20.28853036,3.537789621,5.44510761,47.53917935,0.003790741,-0.702607541,-122.2885706
Madison-Miller,17.828125,15.00429006,1.21684048,4.025577916,47.61973216,0.001054806,1.724947892,-122.3072317
Morgan Junction,22.08083832,24.64552401,4.553886188,6.724979127,47.54401147,0.002720773,0.88465353,-122.3865405
North Beacon Hill,11.30731707,9.368710707,2.588279048,2.999308401,47.585549,0.003641035,-0.902419607,-122.3143521
North Rainier,15.06489676,12.23301531,2.146114604,3.799059807,47.58542942,0.005635033,-0.586030563,-122.2975735
Northgate,18.55305466,72.89460052,23.64180748,4.673588979,47.70609738,0.004708251,-0.318180051,-122.3266853
Outside Seattle,36.44497432,38.94286215,10.869962,22.96375168,47.56009396,0.874822568,-7.903796946,-122.1843592
Outside Villages,15.48888889,18.10358051,10.42589962,3.87806843,47.63845644,0.0547125,-0.422254833,-122.3352405
Pike/Pine,14.0765625,17.38450592,5.823047336,2.489928221,47.61459624,0.001263038,0.487182236,-122.3210117
Pioneer Square,19.01197605,24.87704415,4.093671642,4.229989117,47.60065827,0.000755019,-0.339357297,-122.3324547
Rainier Beach,18.49659864,12.68284039,1.363207299,5.536536036,47.52619063,0.003739526,-0.160561204,-122.2703821
Ravenna,16.48803828,29.04822086,11.40338937,3.377361136,47.66520562,0.001575691,0.007631975,-122.3038576
Roosevelt,13.03563474,10.65504469,1.93446906,3.770091655,47.67705298,0.001326907,0.436856096,-122.3140814
South Lake Union,17.06231003,27.84021342,16.54514495,3.563755042,47.61880896,0.003918409,0.031217447,-122.3379719
South Park,19.16666667,20.82066281,3.616556072,5.714157339,47.52498328,0.00189655,0.584953375,-122.3203209
University Campus,17.245,15.49926457,3.179926166,3.558592959,47.65444945,0.002960137,-0.267953306,-122.3095013
University District Northwest,19.05471956,76.57843871,24.82429573,6.793627184,47.66148179,0.002529425,0.322920938,-122.3154694
Upper Queen Anne,13.31325301,14.13344736,2.306178445,3.658131558,47.63125611,0.000634113,-0.570873878,-122.358828
Uptown,18.4030303,20.36349474,6.437974861,4.173192026,47.62371752,0.002249265,-0.248483558,-122.3565409
Wallingford,14.15575621,13.22587044,2.409817988,3.199685019,47.66116735,0.001964364,-0.265152197,-122.3394145
West Seattle Junction,10.81481481,9.344216615,3.187407442,2.697827605,47.5611362,0.001268812,-1.356190164,-122.3824611
Westwood-Highland Park,13.62857143,12.82880205,1.774369165,4.323286687,47.52341843,0.003251709,0.010544972,-122.3629641
