bg_pair,o_bg,d_bg,lat_dest,lon_dest,BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOOD_DISTRICT_NAME,NEIGHBORHOODS_INCLUDED,CRA_NAME,PCT_IN_VILLAGE,AREA,lon_origin,lat_origin
530330001001-530330001005,530330001001,530330001005,47.72293,-122.29444,530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,8967593.023,-122.28469,47.72683
530330001001-530330007001,530330001001,530330007001,47.71744,-122.2946,530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,8967593.023,-122.28469,47.72683
530330001001-530330042003,530330001001,530330042003,47.66471,-122.29037,530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,8967593.023,-122.28469,47.72683
530330001001-530330053023,530330001001,530330053023,47.65576,-122.30146,530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,8967593.023,-122.28469,47.72683
530330001001-530330067001,530330001001,530330067001,47.63238,-122.34156000000002,530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,8967593.023,-122.28469,47.72683
530330001002-530330001003,530330001002,530330001003,47.722809999999996,-122.28945,530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,3103999.7810000004,-122.29247,47.72932
530330001002-530330007001,530330001002,530330007001,47.71744,-122.2946,530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,3103999.7810000004,-122.29247,47.72932
530330001002-530330018001,530330001002,530330018001,47.6942,-122.33757,530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,3103999.7810000004,-122.29247,47.72932
530330001002-530330018002,530330001002,530330018002,47.69222,-122.34438,530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,3103999.7810000004,-122.29247,47.72932
530330001002-530330093002,530330001002,530330093002,47.589459999999995,-122.33533999999999,530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,3103999.7810000004,-122.29247,47.72932
